Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
PhD,0-1 years,Accounting,"Team Management, Accounting, Communication",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Accounting, Team Management, Communication",
PhD,5+ years,"HR Management, Accounting","Communication, Accounting, Team Management, Excel","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","HR Management, Excel, Accounting, Communication, Team Management",Excel
Bachelor,3-5 years,HR Management,"Excel, Customer Support, Communication, Accounting, Salesforce",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,5+ years,"HR Management, Market Research, Customer Service","Customer Support, Excel, Communication, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, HR Management, Excel, Accounting, Communication",Excel
PhD,0-1 years,"Market Research, HR Management","Communication, Salesforce, Team Management, Customer Support, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Sales Strategy, Operations","Team Management, Excel, Customer Support, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Sales Strategy, Salesforce, Excel, Operations, Team Management","Salesforce, Excel"
PhD,1-3 years,"HR Management, Market Research, Customer Service","Team Management, Accounting, Communication, Excel",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Service, Market Research, HR Management, Accounting, Excel, Communication, Team Management",Excel
Bachelor,1-3 years,"Customer Service, Sales Strategy, Accounting","Customer Support, Team Management, Communication, Accounting, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Sales Strategy, Customer Service, Accounting, Excel, Communication, Team Management",Excel
Bachelor,0-1 years,"Market Research, Operations, HR Management","Accounting, Team Management, Excel, Salesforce, Communication",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"HR Management, Market Research, Salesforce, Accounting, Excel, Communication, Operations, Team Management","Salesforce, Excel"
PhD,3-5 years,"Sales Strategy, Market Research","Customer Support, Excel, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Excel, Accounting",Excel
PhD,3-5 years,Customer Service,"Customer Support, Excel, Team Management, Salesforce, Communication","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,0-1 years,Market Research,"Excel, Customer Support, Salesforce, Team Management",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Market Research, Salesforce, Excel, Team Management","Salesforce, Excel"
Master,3-5 years,Operations,"Accounting, Team Management, Customer Support",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Operations, Accounting, Team Management, Customer Support",
Bachelor,3-5 years,"Market Research, Accounting","Accounting, Team Management, Excel, Communication, Salesforce",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Market Research, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,0-1 years,Sales Strategy,"Team Management, Accounting, Salesforce, Communication, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,3-5 years,"HR Management, Market Research","Customer Support, Accounting, Salesforce",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Market Research, HR Management, Salesforce, Accounting",Salesforce
Bachelor,0-1 years,"Accounting, Market Research","Communication, Excel, Customer Support, Team Management, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Excel, Accounting, Communication, Team Management",Excel
PhD,1-3 years,Market Research,"Accounting, Excel, Salesforce, Communication",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,0-1 years,HR Management,"Customer Support, Excel, Team Management, Communication, Accounting",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, HR Management, Excel, Accounting, Communication, Team Management",Excel
Master,0-1 years,"Operations, Sales Strategy, HR Management","Salesforce, Accounting, Team Management","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Sales Strategy, HR Management, Salesforce, Accounting, Operations, Team Management",Salesforce
Bachelor,1-3 years,"Customer Service, Sales Strategy","Salesforce, Excel, Team Management, Communication","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,5+ years,"Sales Strategy, HR Management","Salesforce, Communication, Excel, Customer Support",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Communication","Salesforce, Excel"
Bachelor,3-5 years,"Market Research, Customer Service, Sales Strategy","Salesforce, Accounting, Communication, Customer Support",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Sales Strategy, Customer Service, Market Research, Salesforce, Accounting, Communication",Salesforce
Master,1-3 years,"Sales Strategy, Operations","Team Management, Customer Support, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Operations, Team Management",Salesforce
Bachelor,5+ years,"Market Research, Operations, Accounting","Customer Support, Excel, Accounting, Communication","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, Excel, Accounting, Communication, Operations",Excel
Master,5+ years,HR Management,"Salesforce, Communication, Customer Support, Excel, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,1-3 years,"Operations, HR Management, Accounting","Salesforce, Communication, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","HR Management, Salesforce, Accounting, Communication, Operations",Salesforce
Bachelor,5+ years,"Operations, Customer Service, Market Research","Excel, Accounting, Salesforce, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Market Research, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
Master,5+ years,Sales Strategy,"Accounting, Salesforce, Excel, Communication",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Sales Strategy, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,1-3 years,"Customer Service, Market Research, Sales Strategy","Excel, Accounting, Team Management, Communication","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Sales Strategy, Customer Service, Market Research, Excel, Accounting, Communication, Team Management",Excel
Master,0-1 years,Operations,"Team Management, Excel, Accounting, Communication, Salesforce",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Customer Service, Operations, Market Research","Excel, Salesforce, Accounting, Communication",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Service, Market Research, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,0-1 years,"Market Research, Accounting, Operations","Team Management, Communication, Salesforce, Accounting, Customer Support",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,3-5 years,Sales Strategy,"Customer Support, Team Management, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Sales Strategy, Team Management",Salesforce
Bachelor,1-3 years,"Operations, HR Management","Accounting, Customer Support, Salesforce, Team Management, Communication",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, HR Management, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Bachelor,1-3 years,"Market Research, Customer Service, Operations","Communication, Accounting, Team Management",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Service, Market Research, Accounting, Communication, Operations, Team Management",
Master,1-3 years,Operations,"Excel, Customer Support, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Salesforce, Excel, Customer Support","Salesforce, Excel"
Bachelor,3-5 years,"Accounting, Market Research, Operations","Communication, Excel, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Market Research, Excel, Accounting, Communication, Operations, Team Management",Excel
Master,1-3 years,"Operations, Market Research","Customer Support, Salesforce, Communication",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Market Research, Salesforce, Communication, Operations",Salesforce
